79-133-3-53.bredband.aland.net - - [23/Sep/2013:10:15:01 +0200] "GET /atmycasa/mejladress.jpg HTTP/1.1" 200 17337 "http://atmycasa.blogspot.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1"
79-133-3-53.bredband.aland.net - - [23/Sep/2013:10:15:01 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 200 19710 "http://atmycasa.blogspot.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_4) AppleWebKit/536.30.1 (KHTML, like Gecko) Version/6.0.5 Safari/536.30.1"
ns.bromolla.se - - [23/Sep/2013:10:16:32 +0200] "GET /atmycasa/mejladress.jpg HTTP/1.1" 200 17337 "http://atmycasa.blogspot.se/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3)"
ns.bromolla.se - - [23/Sep/2013:10:16:32 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 200 19710 "http://atmycasa.blogspot.se/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3)"
ns.bromolla.se - - [23/Sep/2013:10:16:32 +0200] "GET /atmycasa/instagram.jpg HTTP/1.1" 200 18595 "http://atmycasa.blogspot.se/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3)"
spider-37-140-141-6.yandex.com - - [23/Sep/2013:10:17:37 +0200] "GET /avsnitt/sr-sommar-i-p1/karin-johannisson.htm HTTP/1.1" 200 37099 "-" "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
c-b21ea4c3-74736162.cust.telenor.se - - [23/Sep/2013:10:17:43 +0200] "GET /atmycasa/mejladress.jpg HTTP/1.1" 200 17337 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)"
c-b21ea4c3-74736162.cust.telenor.se - - [23/Sep/2013:10:17:43 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 200 19710 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)"
c-b21ea4c3-74736162.cust.telenor.se - - [23/Sep/2013:10:17:44 +0200] "GET /atmycasa/instagram.jpg HTTP/1.1" 200 18596 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0)"
90-230-220-16-no203.tbcn.telia.com - - [23/Sep/2013:10:20:41 +0200] "GET /atmycasa/mejladress.jpg HTTP/1.1" 200 17337 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36"
90-230-220-16-no203.tbcn.telia.com - - [23/Sep/2013:10:20:41 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 200 19710 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36"
90-230-220-16-no203.tbcn.telia.com - - [23/Sep/2013:10:20:41 +0200] "GET /atmycasa/instagram.jpg HTTP/1.1" 200 18596 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36"
h97n6-aepv-d6.ias.bredband.telia.com - - [23/Sep/2013:10:20:55 +0200] "GET /atmycasa/instagram.jpg HTTP/1.1" 200 18596 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/536.28.10 (KHTML, like Gecko) Version/6.0.3 Safari/536.28.10"
h97n6-aepv-d6.ias.bredband.telia.com - - [23/Sep/2013:10:20:55 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 200 19710 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/536.28.10 (KHTML, like Gecko) Version/6.0.3 Safari/536.28.10"
h97n6-aepv-d6.ias.bredband.telia.com - - [23/Sep/2013:10:20:55 +0200] "GET /atmycasa/mejladress.jpg HTTP/1.1" 200 17337 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/536.28.10 (KHTML, like Gecko) Version/6.0.3 Safari/536.28.10"
mark.se - - [23/Sep/2013:10:22:27 +0200] "GET /atmycasa/mejladress.jpg HTTP/1.1" 200 17337 "http://atmycasa.blogspot.se/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3)"
mark.se - - [23/Sep/2013:10:22:27 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 200 19709 "http://atmycasa.blogspot.se/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3)"
mark.se - - [23/Sep/2013:10:22:27 +0200] "GET /atmycasa/instagram.jpg HTTP/1.1" 200 18595 "http://atmycasa.blogspot.se/" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3)"
233.42.34.95.customer.cdi.no - - [23/Sep/2013:10:23:17 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 304 175 "http://atmycasa.blogspot.no/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36"
233.42.34.95.customer.cdi.no - - [23/Sep/2013:10:23:17 +0200] "GET /atmycasa/instagram.jpg HTTP/1.1" 304 174 "http://atmycasa.blogspot.no/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36"
c-4f669f9c-74736162.cust.telenor.se - - [23/Sep/2013:10:23:51 +0200] "GET /atmycasa/mejladress.jpg HTTP/1.1" 200 17337 "http://atmycasa.blogspot.se/?m=1" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53"
c-4f669f9c-74736162.cust.telenor.se - - [23/Sep/2013:10:23:51 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 200 19710 "http://atmycasa.blogspot.se/?m=1" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53"
c-4f669f9c-74736162.cust.telenor.se - - [23/Sep/2013:10:23:51 +0200] "GET /atmycasa/instagram.jpg HTTP/1.1" 200 18596 "http://atmycasa.blogspot.se/?m=1" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53"
84-55-65-194.customers.ownit.se - - [23/Sep/2013:10:24:50 +0200] "GET /atmycasa/instagram.jpg HTTP/1.1" 304 175 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36"
84-55-65-194.customers.ownit.se - - [23/Sep/2013:10:24:50 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 304 175 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36"
84-55-65-194.customers.ownit.se - - [23/Sep/2013:10:24:50 +0200] "GET /atmycasa/mejladress.jpg HTTP/1.1" 304 175 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.66 Safari/537.36"
c-e6c2e355.039-1-64736c11.cust.bredbandsbolaget.se - - [23/Sep/2013:10:25:00 +0200] "GET /atmycasa/instagram.jpg HTTP/1.1" 304 175 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.8 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.8"
c-e6c2e355.039-1-64736c11.cust.bredbandsbolaget.se - - [23/Sep/2013:10:25:00 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 304 175 "http://atmycasa.blogspot.se/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_8) AppleWebKit/534.59.8 (KHTML, like Gecko) Version/5.1.9 Safari/534.59.8"
host-95-195-148-81.mobileonline.telia.com - - [23/Sep/2013:10:25:22 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 200 19710 "http://atmycasa.blogspot.se/?m=1" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53"
host-95-195-148-81.mobileonline.telia.com - - [23/Sep/2013:10:25:22 +0200] "GET /atmycasa/instagram.jpg HTTP/1.1" 200 18596 "http://atmycasa.blogspot.se/?m=1" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53"
host-95-195-148-81.mobileonline.telia.com - - [23/Sep/2013:10:25:33 +0200] "GET /atmycasa/bloglovin.jpg HTTP/1.1" 200 19710 "http://atmycasa.blogspot.se/?m=1" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53"
host-95-195-148-81.mobileonline.telia.com - - [23/Sep/2013:10:25:33 +0200] "GET /atmycasa/instagram.jpg HTTP/1.1" 200 18596 "http://atmycasa.blogspot.se/?m=1" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53"
